id,type,rooms,bathrooms,squaremeters,floor,furnished,image,description,price,typenum,furnishednum,transport,equipped,renovated,shops,cellar,balcony,parking,shared,green,historic,university
154,apartment,2,1,45,2,no,html/img/houses/154.JPG,"Boulevard de Verdun, in an old house, Cogir Immobilier offers you this type of 3-room apartment of 46 mÂ². and 58 mÂ² on the ground, on the 2nd and last floor. It consists of an entrance, a living room, a separate kitchen, two bedrooms, a dressing room, an office and a bathroom with separate WC. Rented with cellar and garage. ",730,3,0,0,0,0,0,1,0,1,0,0,0,0
155,studio,1,1,19,0,yes,html/img/houses/155.JPG," In the immediate vicinity of the city center and public transport, a furnished studio of 19.12 mÂ², including an entrance with cupboard, a main room with balcony, an equipped kitchen area, a bathroom. with WC. Heating, hot and cold water in the charges.",450,2,1,1,1,0,1,0,1,0,0,0,0,0
156,studio,1,0,21,1,yes,html/img/houses/156.JPG," Furnished studio, in a small collective, living room, equipped kitchenette, digicode, location: private parking",430,2,1,0,1,0,0,0,0,1,0,0,0,0
157,apartment,2,1,30,3,yes,html/img/houses/157.JPG,"ideally located near the train station and the city center, in a small collective, type 2 comprising an entrance, a living room with kitchen, a bedroom, a bathroom, a cellar. ",585,3,1,1,0,0,1,1,0,0,0,0,0,0
158,apartment,3,1,62,4,yes,html/img/houses/158.JPG,"In the heart of the historic center, in a character building, type 3 duplex apartment renovated with fitted and equipped kitchen, entrance, living room with kitchen, 2 bedrooms, bathroom, wc. ",985,3,1,0,1,1,0,0,0,0,0,0,1,0
159,apartment,3,1,64,1,no,html/img/houses/159.JPG,"For rent, rue Pierre Roy, a type 3 apartment of 64.54 mÂ² completely renovated in a quiet and green area near the Landry park comprising an entrance with cupboard, a fitted and equipped kitchen (ceramic hob and extractor), a stay on balcony, two rooms, a bathroom, a TOILET, a cellar and a garage. ",775,3,0,0,1,1,0,1,1,1,0,1,0,0
160,studio,1,1,23,1,no,html/img/houses/160.JPG,"In the heart of a shopping area, in a recent building, bright apartment with balcony and covered parking. Compend: an entrance with cupboard, a living room with kitchen area, a bathroom with wc. ",520,2,0,1,0,1,1,0,1,1,0,0,0,0
162,studio,1,0,15,2,yes,html/img/houses/162.JPG,"Furnished room with shared fitted and equipped kitchen, shared bathroom, 1 shared toilet, close to shops, STAR bus, metro, school.",360,2,1,1,1,0,1,0,0,0,1,0,0,0
163,studio,1,1,15,1,yes,html/img/houses/163.JPG,"furnished room, location: air parking, green spaces, close to shops, STAR bus, SNCF train station",450,2,1,1,0,0,1,0,0,1,0,1,0,0
164,apartment,5,1,105,4,yes,html/img/houses/164.JPG,"Very nice and well maintained apartment with 4 bedrooms on the 4th floor, a spacious living room with good ceiling height (3m - all rooms) and large windows give an open and comfortable feeling of space, a modern kitchen with a decor of 2017 and a tiled bathroom",1150,3,1,0,0,1,0,0,0,0,0,0,0,0
165,studio,1,1,21,2,yes,html/img/houses/165.JPG,"ideal for lovers of the city center pleasant furnished type 1 apartment comprising a living room with Murphy bed, fitted kitchen and a bathroom. ",605,2,1,1,0,0,1,0,0,0,0,0,0,0
166,studio,1,1,21,2,yes,html/img/houses/166.JPG,"5 minutes from the JF Kennedy metro station, Flatlooker offers you a room for rent in Square de Champagne. Located on the 2nd floor without elevator, this room in a renovated apartment will be rented to you furnished. The entrance leads into a corridor leading to the different rooms and has a large closet. The kitchen is separate and fully equipped: sink, hob, hood, oven, fridge, freezer and plenty of storage cupboards. It offers a television, a table and four chairs. It also has a pantry with storage. The bedroom has a double bed, a bedside table, a bedside lamp, a desk, a chair and a large closet with hanging space and shelves. This room has access to the balcony. The bathroom has a walk-in shower, sink, mirror and storage unit. The toilets are separate.",395,2,1,1,1,1,1,1,1,0,0,0,0,0
167,studio,1,1,24,6,yes,html/img/houses/167.JPG,"New secure residence located in RENNES close to all amenities. Ideal students or young professionals. Very nice NEW apartment of 23.90 mÂ² fully FURNISHED located on the 6th floor with lift. It consists of a large living room opening onto an equipped kitchenette (sink, sink unit, hob, top fridge and storage units) and a bathroom (shower, washbasin unit, mirror and WC ). Heating and water included in the charges.",580,2,1,1,1,0,1,0,0,0,0,0,0,0
168,apartment,1,1,54,1,no,html/img/houses/168.JPG,"FOR RENT, Alphonse GuÃ©rin district, 3-room apartment consisting of a separate fitted kitchen, a living room with balcony, two bedrooms, a shower room and WC, an attic, a cellar. ",756,3,0,0,0,0,0,1,1,0,0,0,0,0
169,apartment,2,1,31,1,yes,html/img/houses/169.JPG,"Located in the heart of Rennes city center with bus, metro and shops nearby. Beautiful fully furnished duplex apartment type 2 comprising a living room with a fitted and equipped kitchen. Upstairs you will find a bright bedroom and a bathroom with wc.",675,3,1,1,1,0,1,0,0,0,0,0,0,0
170,studio,1,1,23,0,no,html/img/houses/170.JPG,"Rue Adolphe Touffait, discover this apartment of approximately 23m2 including an entrance with cupboard, a main room with kitchen area (kitchenette equipped with a fridge and hotplates) opening onto a south-facing balcony, a bathroom with wc. ",460,2,0,1,1,0,1,0,1,0,0,0,0,0
171,studio,1,1,20,0,no,html/img/houses/171.JPG,"20mÂ² studio, located near the Faculty of Law on the ground floor, it includes a living room, a fitted and equipped kitchen (hob, fridge, extractor), a bathroom with wc.",430,2,0,1,1,0,1,0,0,0,0,0,0,0
172,apartment,2,1,34,2,yes,html/img/houses/172.JPG,"Type 2 apartment of 34.15mÂ² including an entrance with cupboard, a living room, a fitted and equipped kitchen area (hob, fridge), a bedroom with cupboard, a bathroom and a toilet separate. The apartment is rented with a garage in the basement.",550,3,1,0,1,0,0,0,0,1,0,0,0,0
173,apartment,4,1,107,1,no,html/img/houses/173.JPG,"Very beautiful furnished apartment of 107 mÂ² located on the first floor of a quiet condominium close to shops and transport. It consists of a corridor leading to a living room, two beautiful bedrooms, an office, a fitted and equipped kitchen, a bathroom, a WC and a storeroom.",1300,3,0,1,1,0,1,1,0,0,0,0,0,0
174,studio,1,1,20,1,yes,html/img/houses/174.JPG,"Staying at Appart'City means rediscovering the comfort and well-being of home, plus the services! We offer fully equipped studios: kitchen area with fridge, hotplates, microwave, coffee maker/kettle and dishwasher; TV; Wireless; office and private bathroom. You will also find on-site hotel services and services that will make your life easier: breakfast, sale of snacks and drinks to take away, laundry, parking. ",600,2,1,0,1,0,0,0,0,1,0,0,0,0
175,studio,1,1,24,3,no,html/img/houses/175.JPG,"Studio 11 rue du bois Perrin 3rd floor Entrance hall with large cupboard, main room, fitted kitchen area, cupboard, hallway, bathroom, wc, parking. Heating, cold water and hot water included in the charges ",500,2,0,0,0,0,0,0,0,1,0,0,0,0
176,studio,1,1,12,2,yes,html/img/houses/176.JPG,"Studio Rue Alphonse Guerin A main room, an equipped kitchenette, a shower room, wc, cupboard. Quiet, close to shops and bus 12.",390,2,1,1,1,0,1,0,0,0,0,0,0,0
177,studio,1,1,16,0,no,html/img/houses/177.JPG,31 RUE LOUIS GUILLOUX PONT ROBERT SCHUMAN NEAR AGROCAMPUS 15 MÂ² 79 ON THE 1ST FLOOR PARKING KIT EQUIPPED WITH ELECTRIC HEATING,405,2,0,1,1,0,1,0,0,1,0,0,0,0
178,studio,1,0,11,1,yes,html/img/houses/178.JPG,"Rennes Villejean - rue de Picardie Fully furnished type 4 apartment of 76.1 mÂ² comprising an entrance hall, a living room with south-facing balcony, a fitted and equipped kitchen (hob, micro -waves, fridge), a shower room and a WC. In the immediate vicinity of the university, metro, bus, shops and main roads. BEDROOM 3: 10.95 mÂ²: Rent: 450 euros all charges included (Water, Electricity, Heating, Internet) ",450,2,1,1,1,0,1,0,0,0,0,0,0,1
179,studio,1,1,30,6,no,html/img/houses/179.JPG,"Large 30 mÂ² studio including 1 living room + fitted cupboard and kitchenette, 1 shower room. Individual electric heating. ",417,2,0,1,0,0,1,0,0,0,0,0,0,0
180,apartment,3,1,57,0,yes,html/img/houses/180.JPG,"Recently renovated furnished 3-room apartment with living room and balcony, open fitted kitchen, loggia, 2 bedrooms, shower room. collective heating. ",900,3,1,0,0,1,0,0,1,0,0,0,0,0
181,apartment,3,1,54,1,yes,html/img/houses/181.JPG,"Apartment Type T3 furnished and equipped, located in a pleasant and well located environment comprising living room, 2 bedrooms, fitted and equipped kitchen, bathroom water, separate wc, digicode, close to the Anatole France metro and all amenities. ",789,3,1,1,1,0,1,0,0,0,0,0,0,0
182,apartment,2,1,42,2,no,html/img/houses/182.JPG,"t2 composed of: an entrance with dressing room, living room, fitted kitchen, bedroom with storage and shower room. outdoor parking collective heating and hot water. ",545,3,0,0,0,0,0,0,0,1,0,0,0,0
183,apartment,2,1,41,3,yes,html/img/houses/183.JPG,"Type 2 apartment, on the 3rd floor, comprising an entrance, a kitchen living room, a bedroom, a shower room/wc, cupboards, a balcony, covered parking. ",560,3,1,0,0,0,0,0,1,1,0,0,0,0
184,apartment,2,1,25,3,no,html/img/houses/184.JPG,"On the 3rd and last floor of a 1995 condominium, duplex apartment of 25.30 m2 (29.14 m2 on the ground) including an entrance with cupboard and kitchenette, a living room, and a bathroom with WC. Upstairs, a mezzanine bedroom. Private parking in the basement and bicycle storage.",580,3,0,0,0,0,0,0,0,1,0,0,0,0
185,apartment,3,1,75,3,yes,html/img/houses/185.JPG,"THREE-ROOM APARTMENT WITH BALCONY For rent: discover this 3-room apartment of 75 mÂ², in the city of Rennes (35200). It is located on the 3rd floor of a building. To enjoy sunny days, this apartment has a balcony. A cellar offers this accommodation additional storage space. This property is rented with a garage. The apartment is in the commune of Rennes. There are several schools (kindergarten, primary, elementary and college) within 10 minutes of the apartment. As for public transport, there are two metro lines a few steps from the property. ",1200,3,1,1,0,0,1,1,1,1,0,0,0,0
186,studio,1,1,34,4,yes,html/img/houses/186.JPG,"Cogir Immobilier offers you this T1 Bis located on the FranÃ§ois Mitterrand mail on the top floor of a beautiful condominium. The apartment is composed of an entrance, living room with cupboard, storage room, fitted kitchen, bathroom with WC and a garage. Washing machine connection.",540,2,1,1,0,0,1,0,0,1,0,0,0,0
187,apartment,4,1,95,23,no,html/img/houses/187.JPG,"Come and discover at CÃ´me Immobilier this superb West-facing apartment type 4 of 95 MÂ² tastefully decorated, located on the 23rd floor of the emblematic building of RENNES whose architecture was designed by GEORGES MAILLOLS. It is a stone's throw from the town center and the lices market. This property consists of an entrance with cupboard, two bedrooms with cupboards, a bathroom with walk-in shower, a fully fitted and equipped kitchen, a large living room with a breathtaking view of the city.",1550,3,0,0,1,1,0,0,0,0,0,0,0,0
188,apartment,3,1,62,6,no,html/img/houses/188.JPG,"Close to shops, 10 min walk from villejean metro, t3 facing south with living room, fitted and equipped kitchen opening onto a balcony, 2 bedrooms, bathroom, underground parking. collective heating and hot water.",810,3,0,1,1,0,1,0,1,1,0,0,0,0
189,studio,1,1,20,2,yes,html/img/houses/189.JPG,"At the heart of the Beaulieu campus, we offer this studio on the 3rd and last floor of a small collective. This quiet and not overlooked apartment consists of an entrance, a main room with a kitchenette and a bathroom with toilet. The furniture is left at your disposal.",420,2,1,0,0,0,0,0,0,0,0,0,0,1
190,apartment,2,1,60,2,yes,html/img/houses/190.JPG,"It is offered for rent a modern apartment renovated, furnished and equipped, with 1 double and luxurious bedroom, and 1 very spacious bathroom.",750,3,1,0,1,1,0,0,0,0,0,0,0,0
191,studio,1,1,26,5,yes,html/img/houses/191.JPG,"A stone's throw from Place de Bretagne, large bright studio with balcony, view of Vilaine. comprising an entrance with cupboard, a living room with fitted kitchen area, a bathroom with wc. ",500,2,1,0,0,0,0,0,1,0,0,0,0,0
192,apartment,3,1,73,3,yes,html/img/houses/192.JPG,"Furnished two-bedroom apartment, sunny, double glazing, good insulation, location: private parking, cupboards and storage, local 2 wheels, close to shops, STAR bus, metro, possibility of shared accommodation. ",950,3,1,1,0,0,1,1,0,1,0,0,0,0
193,studio,1,1,20,0,yes,html/img/houses/193.JPG,"Furnished room, comfortable with shared fitted and equipped kitchen, shared bathroom, 1 shared toilet, close to shops, amenities, STAR bus. ",399,2,1,1,1,0,1,0,0,0,1,0,0,0
195,apartment,8,2,114,2,no,html/img/houses/195.JPG,"Rennes Voltaire, renovated T8 house of approximately 114mÂ², comprising on the ground floor, a living room with stove, a fitted kitchen, a laundry room, a toilet, on the 1st level: 4 bedrooms, 1 with private shower room, cupboards , bathroom, wc, office and on the 2nd level, a relaxation-leisure area of â€‹â€‹approx. 46 mÂ². Veranda, enclosed garden of around 250 mÂ², garage, electric heating.",1815,3,0,0,0,0,0,0,1,1,0,1,0,0
196,apartment,2,1,50,-1,no,html/img/houses/196.JPG,"T2 bis comprising: a living room with fitted kitchen, a living room, a bedroom, a bathroom with WC, cellar and attic.",650,3,0,0,0,0,0,1,0,0,0,0,0,0
197,apartment,2,1,36,-1,yes,html/img/houses/197.JPG,"Located in the Gare district, close to transport and shops, in a residence located a stone's throw from the station on the North side. Come and discover this type 1 Bis furnished apartment, comprising an entrance hall, a fitted and equipped kitchen (fridge, hob, washing machine), a living room, a bedroom, a shower room with WC.",635,3,1,1,1,0,1,0,0,0,0,0,0,0
198,apartment,6,2,104,-1,no,html/img/houses/198.JPG,"104mÂ² pavilion with pretty enclosed garden with trees. Entrance hall, bright living room, separate kitchen, 4 bedrooms (including one on the ground floor), 2 separate WCs, bathroom, shower room, cupboards .Rented with a garage (not attached).",1159,3,0,0,0,0,0,0,0,1,0,1,0,0
199,apartment,2,1,32,2,yes,html/img/houses/199.JPG,"Furnished one-bedroom apartment, comprising living room, fitted and equipped kitchen, 1 bedroom.",610,3,1,0,1,0,0,0,0,0,0,0,0,0
200,studio,1,1,20,3,no,html/img/houses/200.JPG,"Studio, close to shops, amenities, STAR bus, living room, location: air parking.",480,2,0,1,0,0,1,0,0,1,0,0,0,0
201,apartment,5,1,91,0,yes,html/img/houses/201.JPG,"Located near the Villejean metro station, UNIVERSITE RENNES 2, buses and shops. Come and discover this beautiful furnished type 5 apartment on the raised ground floor in a 1960s building. It offers you an entrance hall, a fitted and equipped kitchen (hood, hob, oven, microwave, dishwasher, fridge, washing machine) and a living room. In the sleeping area, you will find a hallway with cupboard, 4 bedrooms (TV, wardrobe, single bed and desk) and a bathroom.",1770,3,1,1,1,0,1,0,0,0,0,0,0,0
